iter	MultiClass
0	1.771547105
1	1.756706624
2	1.741272339
3	1.724838223
4	1.711899452
5	1.7005051
6	1.685695127
7	1.679090256
8	1.668453151
9	1.657864259
10	1.648685497
11	1.638522804
12	1.627965008
13	1.616429724
14	1.611332395
15	1.601216532
16	1.594688152
17	1.588052138
18	1.582533853
19	1.576648214
20	1.571740262
21	1.566442552
22	1.561093638
23	1.557316588
24	1.54725952
25	1.544286383
26	1.540197523
27	1.532884845
28	1.528534752
29	1.522459694
30	1.518340764
31	1.514478368
32	1.508591038
33	1.50241081
34	1.495306544
35	1.490175586
36	1.485744446
37	1.480869225
38	1.475328012
39	1.470684351
40	1.465825555
41	1.460480649
42	1.455093019
43	1.45139979
44	1.446978077
45	1.442586114
46	1.438702144
47	1.434861865
48	1.431876716
49	1.429069473
50	1.425154551
51	1.420535956
52	1.415009722
53	1.41149481
54	1.408337522
55	1.403651188
56	1.401322579
57	1.397396771
58	1.39219253
59	1.386726433
60	1.382656111
61	1.379514976
62	1.375478687
63	1.372766256
64	1.369215658
65	1.36757308
66	1.364695089
67	1.361089075
68	1.356113507
69	1.35094219
70	1.347184183
71	1.342950095
72	1.340542452
73	1.33658097
74	1.333694036
75	1.330938064
76	1.328229569
77	1.325911068
78	1.322536346
79	1.319695063
80	1.316941771
81	1.312362794
82	1.312258722
83	1.308302393
84	1.304986178
85	1.301232832
86	1.297247575
87	1.292931117
88	1.290710766
89	1.285320675
90	1.282954365
91	1.279060897
92	1.274006835
93	1.270776106
94	1.268172859
95	1.266313974
96	1.262670016
97	1.258913529
98	1.255909485
99	1.249973453
100	1.246594718
101	1.24309554
102	1.24025026
103	1.237802807
104	1.232685507
105	1.229693665
106	1.226608115
107	1.222768551
108	1.21965911
109	1.215642932
110	1.212692729
111	1.209183419
112	1.204990186
113	1.202487256
114	1.197924027
115	1.194774318
116	1.191970295
117	1.187456727
118	1.183767919
119	1.180919322
120	1.177677981
121	1.175844836
122	1.173088042
123	1.168976566
124	1.165552129
125	1.16245802
126	1.1596656
127	1.156810748
128	1.153327315
129	1.150149197
130	1.146934851
131	1.144455767
132	1.141897305
133	1.139712553
134	1.136687454
135	1.13437203
136	1.131870527
137	1.127812595
138	1.124866697
139	1.123514123
140	1.120321346
141	1.116317586
142	1.113770293
143	1.110376154
144	1.106919682
145	1.1014605
146	1.099699967
147	1.095680474
148	1.091061508
149	1.088288273
150	1.087005892
151	1.084254138
152	1.081399079
153	1.078698343
154	1.075166161
155	1.071249116
156	1.067313336
157	1.065153926
158	1.06296022
159	1.060710527
160	1.057337944
161	1.054708378
162	1.051510494
163	1.047863865
164	1.045088115
165	1.040940418
166	1.037055792
167	1.034615856
168	1.033516876
169	1.030422092
170	1.028183528
171	1.024961378
172	1.022492497
173	1.020460006
174	1.017751764
175	1.015332357
176	1.013065381
177	1.011509386
178	1.009623237
179	1.006998374
180	1.003232922
181	1.000159195
182	0.996470616
183	0.9938250483
184	0.9903606302
185	0.987982757
186	0.9857305775
187	0.9839902429
188	0.9809662587
189	0.9784245326
190	0.9748098478
191	0.9725988286
192	0.9693224348
193	0.9658839876
194	0.9641252165
195	0.9602791449
196	0.9572683366
197	0.9547043844
198	0.9528294462
199	0.9501883868
200	0.948317821
201	0.9462764461
202	0.9436132399
203	0.9411273577
204	0.9390406476
205	0.9370900438
206	0.934060125
207	0.931459151
208	0.9291734515
209	0.9267292123
210	0.9247707354
211	0.9229635095
212	0.920600397
213	0.9190352784
214	0.9171491618
215	0.9161249602
216	0.9136412987
217	0.911188389
218	0.9092119713
219	0.9081864529
220	0.9055621556
221	0.9036440442
222	0.9021486263
223	0.9008159705
224	0.8996410654
225	0.8966368327
226	0.8933902506
227	0.8899340871
228	0.8880296884
229	0.8846503757
230	0.8825384579
231	0.8812726967
232	0.8793508243
233	0.8769822888
234	0.8751663363
235	0.8732276068
236	0.8700055759
237	0.8677225529
238	0.8656371143
239	0.8645441936
240	0.8620846899
241	0.8611607858
242	0.8594737162
243	0.8577976276
