iter	Passed	Remaining
0	9	4805
1	22	5503
2	29	4829
3	38	4715
4	44	4413
5	51	4262
6	58	4120
7	61	3752
8	67	3667
9	73	3599
10	81	3627
11	88	3582
12	94	3535
13	100	3491
14	106	3452
15	113	3427
16	119	3401
17	126	3374
18	132	3345
19	137	3311
20	143	3276
21	149	3256
22	154	3212
23	161	3195
24	167	3191
25	174	3177
26	180	3168
27	187	3159
28	194	3163
29	200	3148
30	207	3138
31	214	3139
32	222	3148
33	229	3140
34	235	3128
35	242	3130
36	248	3115
37	255	3106
38	261	3090
39	267	3080
40	274	3072
41	280	3054
42	286	3044
43	291	3017
44	297	3006
45	305	3012
46	311	3002
47	317	2992
48	323	2979
49	330	2972
50	336	2958
51	341	2938
52	347	2932
53	354	2926
54	360	2918
55	366	2909
56	373	2901
57	379	2891
58	384	2873
59	390	2864
60	396	2855
61	402	2845
62	409	2841
63	415	2830
64	420	2814
65	426	2806
66	432	2795
67	438	2786
68	445	2780
69	451	2772
70	457	2764
71	462	2748
72	467	2732
73	473	2724
74	479	2717
75	486	2712
76	491	2701
77	496	2686
78	503	2680
79	510	2679
80	516	2671
81	523	2667
82	525	2641
83	532	2635
84	538	2627
85	545	2623
86	552	2620
87	558	2615
88	565	2611
89	572	2607
90	579	2602
91	583	2588
92	589	2581
93	597	2579
94	602	2570
95	609	2563
96	615	2555
97	619	2543
98	626	2536
99	632	2530
100	639	2525
101	644	2514
102	651	2509
103	657	2503
104	663	2497
105	669	2489
106	676	2486
107	683	2480
108	689	2473
109	696	2468
110	702	2463
111	709	2457
112	715	2450
113	721	2444
114	728	2439
115	733	2427
116	738	2417
117	745	2413
118	752	2408
119	759	2403
120	765	2396
121	771	2391
122	778	2385
123	783	2376
124	789	2369
125	796	2363
126	800	2352
127	807	2346
128	813	2340
129	820	2334
130	826	2328
131	832	2322
132	839	2316
133	846	2311
134	853	2307
135	860	2302
136	866	2295
137	872	2289
138	879	2285
139	885	2278
140	891	2270
141	899	2268
142	906	2263
143	912	2256
144	919	2250
145	924	2240
146	930	2235
147	937	2229
148	944	2223
149	950	2217
150	956	2210
151	963	2204
152	969	2199
153	976	2194
154	982	2187
155	987	2178
156	994	2171
157	999	2162
158	1005	2156
159	1012	2150
160	1020	2148
161	1025	2139
162	1031	2133
163	1038	2127
164	1044	2120
165	1049	2112
166	1056	2105
167	1062	2099
168	1068	2092
169	1075	2087
170	1081	2080
171	1087	2074
172	1094	2068
173	1100	2061
174	1105	2053
175	1111	2046
176	1117	2039
177	1123	2033
178	1130	2027
179	1136	2021
180	1143	2014
181	1149	2008
182	1155	2001
183	1161	1995
184	1167	1988
185	1174	1982
186	1181	1976
187	1187	1970
188	1193	1963
189	1199	1957
190	1206	1951
191	1212	1944
192	1218	1938
193	1225	1932
194	1231	1925
195	1237	1919
196	1243	1913
197	1249	1906
198	1255	1899
199	1262	1893
200	1268	1886
201	1274	1880
202	1280	1873
203	1286	1867
204	1293	1861
205	1299	1855
206	1305	1848
207	1312	1842
208	1318	1835
209	1325	1830
210	1332	1824
211	1338	1818
212	1345	1812
213	1350	1805
214	1356	1798
215	1362	1791
216	1368	1785
217	1375	1779
218	1381	1773
219	1388	1767
220	1394	1760
221	1401	1754
222	1407	1748
223	1413	1741
224	1419	1735
225	1426	1729
226	1432	1723
227	1439	1716
228	1445	1710
229	1451	1704
230	1458	1697
231	1464	1691
232	1470	1684
233	1477	1679
234	1483	1672
235	1489	1666
236	1496	1661
237	1503	1655
238	1509	1648
239	1516	1642
240	1522	1636
241	1528	1629
242	1533	1622
243	1539	1615
