,importance
LOCAL_UE_CNT_RAT_young_ratio_interact,0.061346314786052715
Latitude,0.050457669817679185
Longitude,0.04712808040904428
distance_from_center,0.0461332950658985
day_type_encoded,0.04572611757881654
lat_lng_ratio,0.044586920570715345
Latitude_Longitude_interact,0.04434931914715444
young_ratio,0.03957539327650182
young_to_local_ratio,0.03929426865863429
LOCAL_UE_CNT_RAT,0.0383066358680126
LOCAL_UE_CNT_RAT_Longitude_interact,0.036198830474776955
young_ratio_Latitude_interact,0.032235129063473665
young_ratio_Longitude_interact,0.030226501452262456
LOCAL_UE_CNT_RAT_Latitude_interact,0.02998896192673196
Longitude_MCT_TYPE_카페디저트_interact,0.026329029719658576
Longitude_MCT_TYPE_기타단품특수_interact,0.026299246746850698
young_local_interaction,0.023367498910470706
Latitude_MCT_TYPE_기타단품특수_interact,0.021107009308065413
Latitude_MCT_TYPE_일식_interact,0.01788022208758194
Latitude_MCT_TYPE_카페디저트_interact,0.017620061093088342
