,importance
day_type_encoded,0.05560491073720192
Longitude,0.053313166414583446
Latitude,0.04716849045700208
young_to_local_ratio,0.045448763923177905
lat_lng_ratio,0.04520540014942139
LOCAL_UE_CNT_RAT_Longitude_interact,0.03737353529621677
LOCAL_UE_CNT_RAT_young_ratio_interact,0.03631049499927408
distance_from_center,0.03549956472302408
LOCAL_UE_CNT_RAT,0.03420761159300006
Latitude_Longitude_interact,0.032575666491785935
LOCAL_UE_CNT_RAT_Latitude_interact,0.031366007192565236
young_ratio,0.030954266570264666
Latitude_MCT_TYPE_한식_interact,0.028380684349040092
young_ratio_Longitude_interact,0.025698896873877254
young_ratio_Latitude_interact,0.025182931256745256
Longitude_MCT_TYPE_한식_interact,0.022907805208375702
Longitude_MCT_TYPE_카페디저트_interact,0.017133762029218205
time_type_오후,0.015699357214464325
Latitude_MCT_TYPE_기타단품특수_interact,0.014659697245924561
Latitude_MCT_TYPE_육류구이고기_interact,0.013839905469254548
