feature,importance
day_type_encoded,0.27556336
Longitude,0.21001296
Latitude,0.17198397
distance_from_center,0.17054823
LOCAL_UE_CNT_RAT_young_ratio_interact,0.16916527
young_ratio,0.1690154
Latitude_Longitude_interact,0.16737196
LOCAL_UE_CNT_RAT,0.15874523
lat_lng_ratio,0.15347049
young_to_local_ratio,0.11619546
LOCAL_UE_CNT_RAT_Longitude_interact,0.10235387
LOCAL_UE_CNT_RAT_Latitude_interact,0.08055718
young_ratio_Latitude_interact,0.07336563
Latitude_MCT_TYPE_한식_interact,0.060707413
Latitude_MCT_TYPE_기타단품특수_interact,0.054183062
Longitude_MCT_TYPE_한식_interact,0.0539248
young_ratio_Longitude_interact,0.05004754
Longitude_MCT_TYPE_기타단품특수_interact,0.04945999
time_type_오후,0.04513582
Longitude_MCT_TYPE_카페디저트_interact,0.043237396
Latitude_MCT_TYPE_육류구이고기_interact,0.039899983
Longitude_MCT_TYPE_주점술집_interact,0.039169848
Longitude_MCT_TYPE_육류구이고기_interact,0.032214377
time_gender_food_interact,0.030016737
Latitude_MCT_TYPE_카페디저트_interact,0.027834766
young_local_interaction,0.027006257
Latitude_MCT_TYPE_양식_interact,0.025572734
time_type_주간,0.023461938
Longitude_MCT_TYPE_양식_interact,0.022782529
Longitude_MCT_TYPE_일식_interact,0.022029152
Latitude_MCT_TYPE_탕찌개_interact,0.02173685
MCT_TYPE_주점술집,0.019912535
Latitude_MCT_TYPE_일식_interact,0.017171834
Longitude_MCT_TYPE_중식_interact,0.016959252
Latitude_MCT_TYPE_분식간편식_interact,0.015419095
Latitude_MCT_TYPE_해산물_interact,0.014442804
time_type_오후_MCT_TYPE_한식_interact,0.013268065
gender_target_male,0.01304413
time_type_주간_MCT_TYPE_한식_interact,0.012918885
Latitude_MCT_TYPE_중식_interact,0.011308627
time_type_오후_MCT_TYPE_카페디저트_interact,0.010925926
time_type_오후_MCT_TYPE_양식_interact,0.01038029
Longitude_MCT_TYPE_해산물_interact,0.0102108
time_type_야간,0.010068411
LOCAL_UE_CNT_RAT_mid,0.009921622
MCT_TYPE_카페디저트,0.009828499
time_type_오후_MCT_TYPE_기타단품특수_interact,0.008805775
young_ratio_mid,0.008244252
time_type_주간_MCT_TYPE_기타단품특수_interact,0.008073899
Longitude_MCT_TYPE_탕국면류_interact,0.007709924
gender_specialization,0.006956568
Latitude_MCT_TYPE_탕국면류_interact,0.0068063466
gender_target_male_MCT_TYPE_한식_interact,0.0063384217
Longitude_MCT_TYPE_탕찌개_interact,0.0059752143
MCT_TYPE_육류구이고기,0.0058293347
gender_target_male_MCT_TYPE_기타단품특수_interact,0.005339065
Longitude_MCT_TYPE_분식간편식_interact,0.0053238207
MCT_TYPE_기타단품특수,0.0051644025
MCT_TYPE_한식,0.0048457272
Latitude_MCT_TYPE_주점술집_interact,0.0046551893
time_type_야간_MCT_TYPE_기타단품특수_interact,0.0045368453
time_type_오후_MCT_TYPE_해산물_interact,0.0044831554
time_type_오후_MCT_TYPE_탕찌개_interact,0.0041509415
MCT_TYPE_탕국면류,0.003870235
time_type_주간_MCT_TYPE_탕찌개_interact,0.0037871501
time_type_야간_MCT_TYPE_일식_interact,0.0034423294
MCT_TYPE_뷔페,0.0029268092
MCT_TYPE_일식,0.002802981
time_type_야간_MCT_TYPE_육류구이고기_interact,0.002733103
time_type_주간_MCT_TYPE_양식_interact,0.0023030199
time_type_오후_MCT_TYPE_육류구이고기_interact,0.0022618657
gender_target_female,0.0022042624
time_type_오후_MCT_TYPE_일식_interact,0.0021780636
Latitude_MCT_TYPE_뷔페_interact,0.0014979873
time_type_오후_MCT_TYPE_탕국면류_interact,0.0011602883
LOCAL_UE_CNT_RAT_binned,0.0011488389
time_type_주간_MCT_TYPE_카페디저트_interact,0.0011027366
gender_target_female_MCT_TYPE_카페디저트_interact,0.0010752528
MCT_TYPE_해산물,0.00090868934
Latitude_MCT_TYPE_동남아아시아_interact,0.0009066614
MCT_TYPE_중식,0.00082899607
MCT_TYPE_양식,0.00079272105
young_ratio_binned,0.0007112624
MCT_TYPE_분식간편식,0.0006715187
MCT_TYPE_탕찌개,0.0006526232
time_type_야간_MCT_TYPE_주점술집_interact,0.00059122505
time_type_오후_MCT_TYPE_동남아아시아_interact,0.0005249009
time_type_주간_MCT_TYPE_분식간편식_interact,0.000480295
Longitude_MCT_TYPE_뷔페_interact,0.00045288916
time_type_주간_MCT_TYPE_탕국면류_interact,0.00042983613
young_ratio_low,0.00039423603
time_type_오후_MCT_TYPE_중식_interact,0.00038973868
time_type_야간_MCT_TYPE_한식_interact,0.00037480023
gender_target_male_MCT_TYPE_카페디저트_interact,0.00031357343
gender_target_female_MCT_TYPE_기타단품특수_interact,0.0002556943
gender_target_female_MCT_TYPE_양식_interact,0.00024935105
gender_target_male_MCT_TYPE_탕찌개_interact,0.00019861181
time_type_주간_MCT_TYPE_해산물_interact,0.00019320927
time_type_오후_MCT_TYPE_주점술집_interact,0.0
time_type_주간_MCT_TYPE_죽_interact,0.0
time_type_주간_MCT_TYPE_뷔페_interact,0.0
