feature,importance
Longitude,0.17372067
LOCAL_UE_CNT_RAT,0.14070547
LOCAL_UE_CNT_RAT_young_ratio_interact,0.14055608
day_type_encoded,0.13372123
Latitude,0.13069305
young_to_local_ratio,0.11394677
young_ratio,0.10889014
lat_lng_ratio,0.106317066
Latitude_Longitude_interact,0.096097775
distance_from_center,0.093975425
LOCAL_UE_CNT_RAT_Latitude_interact,0.09168402
LOCAL_UE_CNT_RAT_Longitude_interact,0.07268986
young_ratio_Latitude_interact,0.07261294
young_ratio_Longitude_interact,0.06473522
time_type_오후,0.057453927
Latitude_MCT_TYPE_기타단품특수_interact,0.051353265
Longitude_MCT_TYPE_육류구이고기_interact,0.045611393
Latitude_MCT_TYPE_한식_interact,0.044479072
Longitude_MCT_TYPE_카페디저트_interact,0.043960243
Longitude_MCT_TYPE_기타단품특수_interact,0.043862984
Longitude_MCT_TYPE_한식_interact,0.039602946
Latitude_MCT_TYPE_카페디저트_interact,0.038920652
young_local_interaction,0.03243912
time_type_야간,0.031510655
Latitude_MCT_TYPE_육류구이고기_interact,0.029630959
Latitude_MCT_TYPE_양식_interact,0.029559748
time_gender_food_interact,0.02713252
Longitude_MCT_TYPE_양식_interact,0.02031224
time_type_주간,0.016668078
Latitude_MCT_TYPE_탕찌개_interact,0.01622337
MCT_TYPE_육류구이고기,0.016048735
time_type_야간_MCT_TYPE_기타단품특수_interact,0.014696531
Longitude_MCT_TYPE_주점술집_interact,0.013135192
Latitude_MCT_TYPE_일식_interact,0.012831005
Longitude_MCT_TYPE_일식_interact,0.012041555
MCT_TYPE_중식,0.011933684
Longitude_MCT_TYPE_탕찌개_interact,0.011876087
Latitude_MCT_TYPE_탕국면류_interact,0.011602491
Latitude_MCT_TYPE_해산물_interact,0.011311603
Longitude_MCT_TYPE_해산물_interact,0.011135693
gender_target_male,0.010218575
Latitude_MCT_TYPE_분식간편식_interact,0.009825453
time_type_오후_MCT_TYPE_기타단품특수_interact,0.009461492
Latitude_MCT_TYPE_주점술집_interact,0.009267418
gender_specialization,0.008781556
young_ratio_mid,0.008669634
LOCAL_UE_CNT_RAT_mid,0.008552397
time_type_주간_MCT_TYPE_한식_interact,0.008502596
time_type_오후_MCT_TYPE_한식_interact,0.008437185
gender_target_male_MCT_TYPE_한식_interact,0.007848878
Longitude_MCT_TYPE_분식간편식_interact,0.007823128
MCT_TYPE_기타단품특수,0.0074190116
time_type_오후_MCT_TYPE_양식_interact,0.007310497
MCT_TYPE_카페디저트,0.0068577696
gender_target_male_MCT_TYPE_기타단품특수_interact,0.00662299
time_type_오후_MCT_TYPE_카페디저트_interact,0.006500073
time_type_야간_MCT_TYPE_한식_interact,0.006496312
MCT_TYPE_한식,0.006300539
time_type_주간_MCT_TYPE_기타단품특수_interact,0.0061686314
Latitude_MCT_TYPE_중식_interact,0.006002921
Longitude_MCT_TYPE_중식_interact,0.0053014583
Longitude_MCT_TYPE_탕국면류_interact,0.004951361
LOCAL_UE_CNT_RAT_binned,0.004859807
time_type_야간_MCT_TYPE_일식_interact,0.004517372
time_type_오후_MCT_TYPE_육류구이고기_interact,0.0043378565
gender_target_female,0.004335696
time_type_오후_MCT_TYPE_해산물_interact,0.0043313648
MCT_TYPE_주점술집,0.0041891807
time_type_오후_MCT_TYPE_탕찌개_interact,0.0038742728
time_type_주간_MCT_TYPE_탕찌개_interact,0.0036029916
MCT_TYPE_일식,0.003356414
time_type_오후_MCT_TYPE_중식_interact,0.003022603
time_type_주간_MCT_TYPE_카페디저트_interact,0.0029833831
MCT_TYPE_양식,0.0026191853
time_type_야간_MCT_TYPE_카페디저트_interact,0.0025666147
time_type_야간_MCT_TYPE_주점술집_interact,0.0025399076
gender_target_male_MCT_TYPE_육류구이고기_interact,0.0025209992
MCT_TYPE_탕국면류,0.002401407
gender_target_female_MCT_TYPE_카페디저트_interact,0.0021787528
time_type_야간_MCT_TYPE_육류구이고기_interact,0.0021455823
time_type_주간_MCT_TYPE_주점술집_interact,0.0019139083
young_ratio_binned,0.0018599721
time_type_주간_MCT_TYPE_탕국면류_interact,0.0018023197
time_type_오후_MCT_TYPE_탕국면류_interact,0.0017215303
